Goals,Expected goals (xG),xG on target (xGOT),Non-penalty xG,Shots,Shots on target,Assists,Expected assists (xA),Successful passes,Pass accuracy,Accurate long balls,Long ball accuracy,Chances created,Successful crosses,Cross accuracy,Successful dribbles,Dribble success,Touches,Touches in opposition box,Dispossessed,Fouls won,Tackles won,Tackles won %,Duels won,Duels won %,Aerial duels won,Aerial duels won %,Interceptions,Blocked,Fouls committed,Recoveries,Dribbled past,Yellow cards,Red cards,Player Name,Position
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,75.4%,127,50.2%,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,0,Diego Rodriguez,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,56.1%,9,33.3%,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,0,Gonzalo Siri Payer,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Agustin Mangiaut,Not Found
1,0.61,0.50,0.61,13,3,3,1.76,649,83.6%,29,43.3%,17,14,20.3%,8,42.1%,"1,284",29,7,24,31,67.4%,107,59.1%,29,55.8%,21,3,14,83,20,2,0,Leandro Lozano,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Kevin Coronel,Not Found
1,1.11,1.99,1.11,6,4,0,0.09,754,88.7%,49,47.1%,1,Not Found,Not Found,Not Found,Not Found,"1,034",6,2,7,10,58.8%,60,60.6%,37,58.7%,13,1,9,47,3,3,0,Erik Fernando Godoy,Not Found
0,0.17,Not Found,0.17,3,Not Found,0,0.72,328,79.6%,29,49.2%,6,6,40.0%,6,66.7%,638,7,9,7,18,69.2%,52,47.3%,13,44.8%,11,1,14,54,16,2,0,Luciano Sanchez,Not Found
0,0.32,0.12,0.32,11,2,2,0.50,901,88.7%,56,53.3%,3,1,25.0%,4,40.0%,"1,236",21,5,11,11,73.3%,87,57.6%,57,62.0%,30,1,13,71,6,3,0,Francisco Alvarez,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Mateo Antoni,Not Found
0,0.04,0.33,0.04,1,1,0,0.01,75,89.3%,3,60.0%,Not Found,Not Found,Not Found,Not Found,Not Found,106,1,0,Not Found,Not Found,Not Found,9,64.3%,8,72.7%,3,Not Found,1,4,Not Found,0,0,Tobias Ramirez,Not Found
1,0.35,0.48,0.35,11,4,1,0.83,425,76.2%,27,38.6%,11,7,26.9%,9,64.3%,825,27,5,8,16,66.7%,61,50.4%,20,47.6%,11,3,13,40,17,2,0,Sebastian Prieto,Not Found
1,0.93,1.35,0.93,9,3,1,1.59,351,85.8%,30,61.2%,9,16,26.7%,14,53.8%,656,18,6,5,8,72.7%,36,49.3%,6,60.0%,6,2,7,35,8,3,0,Roman Vega,Not Found
2,1.05,3.28,1.05,17,6,1,2.35,393,80.4%,11,45.8%,22,15,23.4%,31,52.5%,804,53,25,24,16,66.7%,85,47.8%,6,24.0%,5,7,11,66,10,2,0,Alan Rodriguez,Not Found
1,0.79,0.36,0.79,14,2,2,1.96,671,86.8%,60,63.8%,25,29,42.0%,15,46.9%,"1,026",21,15,7,14,56.0%,56,44.1%,9,50.0%,12,7,17,91,14,3,0,Nicolas Oroz,Not Found
0,Not Found,Not Found,Not Found,0,Not Found,0,Not Found,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,Not Found,0,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,0,1,Francisco Ilarregui,Not Found
0,Not Found,Not Found,Not Found,0,Not Found,0,0.40,912,89.5%,93,69.9%,7,Not Found,Not Found,2,66.7%,"1,203",3,11,11,16,48.5%,59,43.7%,14,45.2%,21,Not Found,31,85,19,7,1,Federico Fattori,Not Found
3,3.98,2.76,3.19,38,8,4,2.54,608,84.8%,39,75.0%,21,5,50.0%,20,57.1%,995,53,29,33,15,53.6%,97,53.3%,16,50.0%,5,13,13,65,12,1,0,Alan Lescano,Not Found
0,0.02,Not Found,0.02,1,Not Found,0,0.06,104,91.2%,6,66.7%,2,Not Found,Not Found,2,50.0%,146,Not Found,2,Not Found,5,83.3%,14,43.8%,6,42.9%,Not Found,1,4,11,2,0,0,Juan Cardozo,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Lucas Gomez,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Ariel Gamarra,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Diego Porcel,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Luis Fernando Alvarez,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Cristian Ferreira,Not Found
1,0.83,0.99,0.83,8,1,0,0.49,208,86.7%,7,53.8%,8,5,25.0%,9,56.2%,369,13,10,12,9,52.9%,40,52.6%,2,22.2%,4,2,7,40,6,0,0,Emiliano Viveros,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Victor Ismael Sosa,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Manuel Brondo,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Ruben Bentancourt,Not Found
4,2.81,3.50,2.81,19,9,1,1.26,124,66.0%,3,23.1%,14,1,33.3%,4,33.3%,315,57,10,12,5,71.4%,38,37.3%,15,34.1%,3,6,14,33,6,0,0,Maximiliano Romero,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Santiago Rodriguez,Not Found
Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Joaquin Ardaiz,Not Found
9,6.82,9.81,6.03,48,20,1,0.98,206,71.5%,7,63.6%,12,1,12.5%,18,40.9%,574,98,20,25,18,72.0%,125,51.2%,58,54.7%,Not Found,8,18,46,11,2,0,Tomas Molina,Not Found
4,2.61,2.29,2.61,34,12,2,1.47,287,77.8%,14,63.6%,13,3,8.6%,12,35.3%,640,59,21,20,9,69.2%,68,45.6%,23,60.5%,9,11,17,34,7,2,0,Jose Herrera,Not Found
